x,y,z
-2.338159,-2.08214,0.0015
-2.325937,-2.059874,0.0015
-2.204561,-2.155471,0.0015
-2.192339,-2.133205,0.0015
-2.249094,-2.131028,0.0015
-2.236872,-2.108761,0.0015
-2.115496,-2.204359,0.0015
-2.103274,-2.182092,0.0015
-2.160029,-2.179915,0.0015
-2.147807,-2.157649,0.0015
-2.026434,-2.253249,0.0015
-2.014211,-2.230984,0.0015
-2.070965,-2.228804,0.0015
-2.058742,-2.206538,0.0015
-1.93737,-2.30214,0.0015
-1.925148,-2.279875,0.0015
-1.981902,-2.277695,0.0015
-1.969679,-2.255429,0.0015
-1.848308,-2.351032,0.0015
-1.836085,-2.328766,0.0015
-1.892839,-2.326586,0.0015
-1.880616,-2.30432,0.0015
-1.759247,-2.399926,0.0015
-1.747023,-2.377661,0.0015
-1.803777,-2.375479,0.0015
-1.791554,-2.353213,0.0015
-1.670186,-2.44882,0.0015
-1.657962,-2.426555,0.0015
